Sentence,Categories,Target Group,Offensive Words
aj ek shia se mila mene us pocha k tum log zuljana ki tatti bhi khate ho kia bhsori wala,religious offensive,shia,"bhsori wala, tatti"
qadyani ka jo yaar hai ghaddar,religious offensive,qadyani,ghaddar
aby jaa khatmal tum sare mutah ki paidawar ho,religious offensive,shia,"mutah ki paidawar, khatmal "
mirza qadyani aur is ki zaryat ke kafir honay mein bhi koi shak nahi jo un kufr kere woh musalman,religious offensive,muslim,"kafir, kufr"
sare shia jahil hain in ky belief ki tarha,religious offensive,shia,jahil
mazak se hat k sunni bohat chotiya hain,religious offensive,sunni,chotiya
shia tum log zuljana ki tatti ho gandu,religious offensive,shia,"tatti, gandu"
log suno agar corona virus khatam bhi ho jaye tab shia se dor raho yeh gandagi ka dhair hain bharwa,religious offensive,shia,bharwa
tm firoun ki aulad ho bharwa khatmal,religious offensive,shia,"firoun ki aulad, bharwa"
isko zakir kutta ko to bethaya gaya hai sahabi k khilaf bhonkny lye,religious offensive,no-target,kutta
shia kanjar ghoray ke pujari yeh ganday ghaleez aqeedah ka giroh hai karorron lanat un par,religious offensive,shia,"ghaleez, kanjar, lanat"
bhar me jao khatmal tum log bhenchod,religious offensive,shia,"bhenchod, khatmal "
me tum shia ki imamon ko nahi maanta ab jaa kr gand marao khatmal aulad,religious offensive,shia,"gand marao, khatmal "
shia maloon ko girftar karo,religious offensive,shia,maloon
hindu jahil gaey ka peshap peety hain,religious offensive,hindu,jahil
shaitan k shagird hain hindu gandu,religious offensive,hindu,gandu
taravi py jhoty davy krta hain ye,religious offensive,no-target,no-offensive
deobandi islam say kharij hain,religious offensive,deobandi,no-offensive
jahannum ki aag main jaly ga pagal molana,religious offensive,no-target,pagal
deobandi boht hi ziada harami hain,religious offensive,deobandi,harami
firoun ki nasal se hai mullah khinzir,religious offensive,no-target,khinzir
ye sare sunni dozakhi ki kutta hain,religious offensive,sunni,kutta
harami hain barelvi,religious offensive,barelvi,harami
hindu k bhagwan main bhi garmi hai sala biwi sath rakhta harami,religious offensive,hindu,harami
qadyani chahay trmp ke paas jao ya apne baap shaitan tum phir bhi kafir hi raho ge,religious offensive,qadyani,kafir
barelvi ne to bhenchod biidat ko aam kar diya hai,religious offensive,barelvi,bhenchod
hindu bharwa k baap hain hum,religious offensive,hindu,bharwa
tum sunni gandu khatm prhty ho khane ki barkat khatam karny ky lye,religious offensive,sunni,gandu
shia sare hi bhenchod hote hain q k inho ne apne behan paish krni hoti hai,religious offensive,shia,bhenchod
bahar mein jao khatmal kutta,religious offensive,shia,khatmal 
tu hindu chod ly apna bhagwan,religious offensive,hindu,chod
tu chod ly shayd koi khuda ml jay tjhy bhi,religious offensive,no-target,chod
khatmal bharwa tum har mazhab say kharij ho,religious offensive,shia,khatmal 
ahmadi islam aur pakistan ke ghaddar hain,religious offensive,qadyani,ghaddar
shia ghaleez kafir hai,religious offensive,shia,"ghaleez, kafir"
qadyani deen islam ke liye khatrah hain gustaakh sahabi aur rasool kisi riayat mustahiq nahi ye kutta,religious offensive,qadyani,"gustaakh, kutta"
shia lanti kutta kafir hain,religious offensive,shia,"kafir, kutta, lanti"
napak qadyani kafir,religious offensive,qadyani,"kafir, napak"
qadyani kal bhi kafir the aaj hain,religious offensive,qadyani,kafir
jo kutta letreen mein mera woh hai mirza qadyani,religious offensive,qadyani,kutta
na ahmadi muslim sirf kafir,religious offensive,muslim,kafir
dimagh har jagah gand marwa k wesy hi nahi raha hai tera or khuda koi tere pass,religious offensive,no-target,gand marwa
qadyani ek fitna ka naam hai jiska agenda pakistan mein fasad phelana inshaallah naakaam aur zaleel honge,religious offensive,qadyani,"zaleel, fitna"
qadyani kutta par bhonkna wala,religious offensive,qadyani,"bhonkna, kutta"
jo bhi qadyani kafir ke liye narm gosht rakhta hai woh se kharij tajdaar zindabad,religious offensive,qadyani,kafir
tum log jtny hoty ho bharwa utny hi mazhab s door,religious offensive,no-target,bharwa
tu bhi rehny de wesy kutta jannat m nahi jayga,religious offensive,no-target,kutta
idaron se guzarish hai ke jism faroshi wali jagahon par pabandi lagai jaye takay ulama bhonkna wala ki tadad mein kami ho,religious offensive,no-target,bhonkna
tableeghi jamaat ke khilaf baghawat rakhne wala hi deen dushman hain kanjar ki aulad,religious offensive,deobandi,kanjar
mirzai murtad jeene ka haq nahi rakhte,religious offensive,qadyani,murtad
ary han tum to musalman main hi itny firka hain jahil,religious offensive,muslim,jahil
qadyani kabhi bhi musalman nahi kehla sakte mirza ahmad ek kafir tha hai aur hi rahe ga,religious offensive,muslim,kafir
zamin mirasi tujh par lanat beshumar,religious offensive,shia,lanat
islam ke dushman qadyani is mulk bhi ghaddar hain,religious offensive,qadyani,ghaddar
masjid band karne wala par lanat,religious offensive,no-target,lanat
qadyani koi firka ya maslak nahi balke yeh duniya ke bad tareen kafir murtad aur fitna hain is fitna ko jarr se ukharna hai,religious offensive,qadyani,"murtad, kafir, fitna"
qadyani qayamat tak pakistan mein jagah nahi bana paen ge kafir,religious offensive,qadyani,kafir
qadyani ik fitna aur fitna ko khatam karna zaroor hai,religious offensive,qadyani,fitna
mera imaan kehta hai is zamin par sab se najas aur badboo daar chiz qadyani hain,religious offensive,shia,no-offensive
tum hindu ko abhi main khana deny lag jaon mjhy food and nutrition ka bhagwan bana logy bhenchod sale,religious offensive,hindu,bhenchod
agar aap log ne khinzir nahi dekha to in kanjar shia ko dekh lo,religious offensive,shia,"khinzir, kanjar"
tum bharwa log ko bhi to 4 ki ijazat hai phir bahir mou marty ho ay bary sahi muslim,religious offensive,muslim,bharwa
sare ek jaise nahi hoty tum to hi hindu harami ho,religious offensive,hindu,harami
chehlum tum q mana rhy to sunni ho chinal ki aulad,religious offensive,sunni,chinal ki aulad
pakistan ko qadyani se pak karna hamara azam hai,religious offensive,qadyani,no-offensive
shia duniya ka lanti log hain,religious offensive,shia,lanti
to kia tum shia ki tarha peetty rahen hum ab kanjar,religious offensive,shia,kanjar
qadyani kafir hai qayamat tak,religious offensive,qadyani,kafir
bharwa hum haleem ghareeb m bantny k lye bnaty hain tmhary tarha janwar py zulm nahi karty khatmal ki nasal,religious offensive,shia,"khatmal , bharwa"
mirzai palidh kafir,religious offensive,qadyani,"palidh, kafir"
qadyani ka difaa karna kufr hai,religious offensive,qadyani,kufr
qadyani jahannum ke kutta hain,religious offensive,qadyani,kutta
kafir shia,religious offensive,shia,kafir
shia khinzir gustaakh ko kutta ke mout mara jaye,religious offensive,shia,"gustaakh, khinzir, kutta"
kafir the hain aur rahay ge nah tum ko pakistan musalman manay ga shuru se hi,religious offensive,muslim,kafir
tera khuda nazr ajayga to main bhi jawab de duga,religious offensive,no-target,no-offensive
qadyani ka jo haami hai pakka number one harami,religious offensive,qadyani,harami
mutah ki ghaleez paidawar,religious offensive,shia,ghaleez
tumhara koi firka nahi hai tum log fitna ho bharwa,religious offensive,no-target,"bharwa, fitna"
na shukry atheist tjhy zindge di hai allah ny or tum usko hi nahi manty,religious offensive,no-target,no-offensive
to koi daleel do na kanjar btao tumhara allah kahan hai,religious offensive,no-target,kanjar
tujh jaise bharwa athiest se me baat bhi na karon,religious offensive,no-target,bharwa
ja chotiya tujhy to khud nahi pata allah kahan hai,religious offensive,no-target,chotiya
han to tumhari tarha bavla thori hain ek hi khuda ko sare task de dn,religious offensive,no-target,no-offensive
tumhara bhagwan her cheez ka alag hai ta k nizam chala raha bharwa,religious offensive,hindu,bharwa
